X1,Treatment,Dose,Time.Top,Time.Bottom,Freezing.S,AbsoluteTurnAngle,Speed
A1,CTRL,0 mg/kg,10.425,288.566,18.838,12.90029,5.05914869789354
A2,CTRL,0 mg/kg,20.293,271.3375,19.928,27.7899337798165,0.521480764421333
A3,CTRL,0 mg/kg,6.261,205.4562,0,19.1134650398671,6.8995842596378
A4,CTRL,0 mg/kg,16.081,314.245,0,17.3621926630435,7.23928303682494
A5,CTRL,0 mg/kg,26.179,248.5745,0,9.765607577,2.93846411355018
A6,CTRL,0 mg/kg,3.34,226.8559,0,21.21284,2.42406561543427
A7,CTRL,0 mg/kg,10.481,264.1527,0,20.76793,8.12784577022391
A8,CTRL,0 mg/kg,85.745,221.0099,0,17.32444,1.2984095505194
A9,CTRL,0 mg/kg,45.123,270.9901,12.557,10.98258,8.32284656346577
A10,CTRL,0 mg/kg,23.1,294.1661,2.245,7.97959641666667,2.93552524126567
B1,CTRL,1 mg/kg,0.52,214.7458,22.381,17.5367325141956,0.395483789786558
B2,CTRL,1 mg/kg,0.271,227.4543,0,15.551800127551,7.78132852107698
B3,CTRL,1 mg/kg,0.596,195.0623,0,8.48788334615385,2.19964029529303
B4,CTRL,1 mg/kg,0.766,320.0402,0,14.6313749107143,3.20560682614129
B5,CTRL,1 mg/kg,2.893,291.633,12.123,19.835199844898,5.55975742263795
B6,CTRL,1 mg/kg,0.323,255.88,38.998,10.3601696545455,5.40735935738299
B7,CTRL,1 mg/kg,0.347,292.5941,37.651,16.94315,1.65206093253385
B8,CTRL,1 mg/kg,0.469,202.496,0,16.32763,3.71250859941333
B9,CTRL,1 mg/kg,0.544,236.6439,31.382,10.48751,2.95322569583146
B10,CTRL,1 mg/kg,67.301,300.7152,10.193,7.30273,4.14231868701321
B11,CTRL,1 mg/kg,0,360,0,13.86292,0.823231921758935
B12,CTRL,1 mg/kg,0,360,53.684,18.590698,5.91385237773263
B13,CTRL,1 mg/kg,32.556,195.109,0.994,9.884942,4.80272755609588
B14,CTRL,1 mg/kg,23.262,280.689,12.854,17.150068,1.92647551432159
B15,CTRL,1 mg/kg,24.014,198.479,0,9.018889,8.18520490530823
B16,CTRL,1 mg/kg,18.438,225.749,0,16.057627,3.98333533663764
B17,CTRL,1 mg/kg,52.438,242.144,0,15.999607,4.05246627369674
B18,CTRL,1 mg/kg,52.002,247.548,0,11.744869,2.13432713448963
B19,CTRL,1 mg/kg,23.947,168.586,0,3.570181,6.73723262472854
B20,CTRL,1 mg/kg,0.314,263.712,15.692,6.90393,0.303195674700869
B21,CTRL,1 mg/kg,14.158,264.015,13.155,13.145377,10.9387116663529
C1,CAS,0 mg/kg,4.222,302.8243,0,27.5489351721854,9.79280352431876
C2,CAS,0 mg/kg,13.525,340.3982,70.382,25.3103668943089,8.05655401147578
C3,CAS,0 mg/kg,15.531,350.1497,12.613,33.31058624,2.69241629930378
C4,CAS,0 mg/kg,0.307,331.232,0,34.3841818,1.96223600219017
C5,CAS,0 mg/kg,26.444,301.9155,135.138,31.2155886862745,5.50448271435536
C6,CAS,0 mg/kg,10.253,309.706,38.991,39.4252146160714,3.77749341358258
C7,CAS,0 mg/kg,11.461,323.7393,83.001,30.02192,7.64381706876358
C8,CAS,0 mg/kg,10.997,324.9077,16.982,34.36395,5.77669584845162
C9,CAS,0 mg/kg,0.566,349.3439,0,33.25469,6.41660785844376
C10,CAS,0 mg/kg,30.967,305.4647,0,35.6867,6.39012855881262
C11,CAS,0 mg/kg,6.238,329.665,80.171,42.75933,4.81590829765951
C12,CAS,0 mg/kg,8.942,303.254,82.562,42.34343,2.17154658067357
C13,CAS,0 mg/kg,10.672,330.662,77.474,44.99928,6.96923840243345
C14,CAS,0 mg/kg,4.582,341.782,14.127,35.45097,4.81490879262487
C15,CAS,0 mg/kg,0,360,0,40.33028,1.04516511870913
C16,CAS,0 mg/kg,10.246,303.896,26.918,40.05775,5.20455418485246
C17,CAS,0 mg/kg,0,360,0,41.68229,13.0298594913436
C18,CAS,0 mg/kg,14.806,339.595,88.714,46.42559,3.41062857398071
C19,CAS,0 mg/kg,4.358,217.876,55.218,44.64497,1.42035480896299
C20,CAS,0 mg/kg,5.067,327.729,0,35.71759,0.817683322970305
C21,CAS,0 mg/kg,0,360,113.318,41.37372,4.72137712371237
D1,CAS,1 mg/kg,1.362,322.081,127.481,17.6129459553571,4.5271971725106
D2,CAS,1 mg/kg,5.606,225.3098,0,14.8599031388889,9.99964830013858
D3,CAS,1 mg/kg,0.286,205.5678,0,19.0081706965318,0.802886338592106
D4,CAS,1 mg/kg,6.84,313.7525,0,17.28602,1.16886264602145
D5,CAS,1 mg/kg,24.485,297.7027,0,17.72956,4.25972498596061
D6,CAS,1 mg/kg,0.982,207.9702,28.123,15.69845,5.8124914613599
D7,CAS,1 mg/kg,32.515,286.9283,154.327,13.10199,8.65088209134796
D8,CAS,1 mg/kg,0.307,197.2187,0,18.0664692352941,1.95697723808666
D9,CAS,1 mg/kg,0.343,215.8272,0,10.6502462857143,9.77275246373967
D10,CAS,1 mg/kg,7.886,146.317,0,16.35071,6.0427901544509
D11,CAS,1 mg/kg,0,360,40.058,17.76048,10.2346422186689
D12,CAS,1 mg/kg,0,360,52.224,17.35496,3.88398231026592
D13,CAS,1 mg/kg,9.624,272.864,0,16.99252,5.09125291560167
D14,CAS,1 mg/kg,3.349,262.464,0,11.66728,6.63733350198064
D15,CAS,1 mg/kg,0,360,0,16.91602,6.55977672825766
D16,CAS,1 mg/kg,1.885,215.683,0,12.80144,0.539916734847823
D17,CAS,1 mg/kg,10.344,239.255,0,14.50183,13.1957164653368
D18,CAS,1 mg/kg,0,360,0,20.95165,1.59966914316658
D19,CAS,1 mg/kg,9.063,180.701,131.321,14.68896,2.78285333165836
D20,CAS,1 mg/kg,17.749,270.901,45.763,12.76139,5.62487624460625
D21,CAS,1 mg/kg,15.353,281.271,0,33.45479,11.7123791238
