Treatment,Dose,Time_On_Top,Time_On_Bottom,AbsoluteTurnAngle,Speed,Freezing
CTRL,0,85.0247,248.9753,55.6401324993625,10.1762082156711,23
CTRL,0,69.3502,205.6498,56.8128486411202,7.33523804801996,5
CTRL,0,91.0992,259.9008,5.76773084449223,6.36509184108951,15
CTRL,0,65.7632,291.2368,58.3307700860165,11.6408896981762,16
CTRL,0,69.4273,245.5727,8.4614401209932,1.007127626435,0
CTRL,0,71.6727,279.3273,5.37259654067545,13.2338251723155,23
CTRL,0,88.2654,235.7346,22.1615533798998,12.4951333177436,23
CTRL,0,92.6049,168.3951,29.4086607126861,8.29877698171699,11
CTRL,0,57.4576,218.5424,13.130123930392,8.98183994789003,0
CTRL,0,64.5187,206.4813,49.5495346250205,8.13450638356994,19
CTRL,0,80.7382,226.2618,4.68002765833375,1.72212133031431,11
CTRL,0,95.0728,225.9272,14.189590532068,6.93230131036373,17
CTRL,0,59.6266,266.3734,59.2875257996338,5.40382129716974,2
CTRL,0,81.4235,204.5765,38.855846114496,1.1913328798011,17
CTRL,2.5,121.4411,160.5589,20.963348641819,11.1226598176559,4
CTRL,2.5,118.2698,237.7302,4.61057496669084,2.32286827563419,8
CTRL,2.5,147.371,211.629,10.3821432921642,3.70101338175183,4
CTRL,2.5,138.9821,158.0179,12.7252047713506,1.26626626800464,6
CTRL,2.5,47.6715,263.3285,42.1767501628162,13.7801864879767,9
CTRL,2.5,121.0589,155.9411,10.8348401780249,4.78241250732056,9
CTRL,2.5,38.9315,289.0685,56.4127871493888,6.1244822656313,5
CTRL,2.5,40.3347,243.6653,6.34774694564167,3.19193814249446,8
CTRL,2.5,144.7443,144.2557,49.7700172261797,6.11840896385164,4
CTRL,2.5,3.3469,356.653,4.47355942614017,5.29616378045988,10
CTRL,2.5,40.8209,277.1791,57.3976077820503,10.746411706899,0
CTRL,2.5,16.4046,279.5954,48.9596058912399,2.59904149449677,0
CTRL,2.5,137.5075,204.4925,35.1950905478846,9.63699908621418,7
CTRL,2.5,14.3315,255.6685,25.2723944316005,3.73849122682002,6
CTRL,2.5,126.1499,161.8501,57.4260778145051,2.54774345721149,8
CTRL,25,43.9488,309.0512,31.0290923892281,11.5545017944119,2
CTRL,25,70.1453,255.8547,41.2140039904643,6.99234985757493,6
CTRL,25,48.1764,225.8236,20.3604926135465,12.4886459378297,8
CTRL,25,36.5943,312.4057,19.4602923969297,12.6605494947545,8
CTRL,25,49.6792,294.3208,33.5789064183979,3.9538198383373,7
CTRL,25,32.8434,296.1566,8.21102594548945,5.72345508325972,3
CTRL,25,27.3304,297.6696,48.7375865203074,5.80216741311873,0
CTRL,25,26.0672,233.9328,53.6179819674379,6.55929553180763,0
CTRL,25,98.9258,221.0742,36.2919228334471,11.5275962735896,3
CTRL,25,50.5005,262.4995,39.2393025580972,1.49533978824384,6
CTRL,25,38.1254,274.8746,20.8164507768483,4.70906164281584,0
CTRL,25,68.2769,217.7231,58.7845322223991,7.21591462488399,8
CTRL,25,79.2442,264.7558,36.01719591893,13.8933498173279,9
CTRL,25,93.6245,179.3755,8.8926610015145,13.768397173055,0
CAS,0,17.6243,357.011,13.097737862548,8.24386764344108,19
CAS,0,12.3018,343.6982,38.748479335559,12.1881765536319,8
CAS,0,23.1748,346.571,10.0971922110055,8.34308830972226,36
CAS,0,0.9621,303.0379,42.487111788863,10.667679817742,19
CAS,0,21.7399,319.2601,59.9743487006063,13.6147891935082,18
CAS,0,21.9281,294.0719,55.8717002875867,8.64411539792564,57
CAS,0,35.6422,297.3578,25.9427023562035,5.72093845430512,48
CAS,0,10.2025,348.756,39.7956304685724,13.1061305652518,17
CAS,0,2.6636,288.3364,38.1639530350436,7.50630558782247,13
CAS,0,0.03,354.97,22.4525395821929,10.0462949436538,24
CAS,0,7.9182,287.0818,31.9802887307457,6.35800797327121,3
CAS,0,4.4472,314.5528,34.8477178167795,13.3683826477515,11
CAS,0,37.4481,270.5519,44.7411776699347,12.0049014026304,6
CAS,0,20.8862,328.1138,56.506291447734,4.3186850405724,51
CAS,0,18.2363,319.7637,15.6793213765819,12.3672631769188,44
CAS,2.5,354.083,5.9169,25.5613349915671,4.69034135506128,54
CAS,2.5,0.405,357.575,22.0721675068924,3.79618610845014,45
CAS,2.5,266.665,83.335,16.9907382073811,13.5836231228853,34
CAS,2.5,0.669,302.331,21.4898947302701,9.09153890695019,12
CAS,2.5,106.300,244.7,31.538277982408,12.1404909783777,17
CAS,2.5,1.784,355.216,24.8645848846209,3.27622864849995,12
CAS,2.5,0.635,355.37,34.191281857852,12.2054440972105,12
CAS,2.5,0.158,305.842,5.67130794689135,7.34177681848534,25
CAS,2.5,0.242,331.758,38.6618207184654,5.62331610829555,33
CAS,2.5,0.301,293.699,4.13108604452797,12.6074700683738,12
CAS,2.5,0.9177,302.0823,39.8040119872077,10.3540947856039,3
CAS,2.5,199.7754,103.2246,22.5418544482381,6.79268576224245,4
CAS,2.5,0.9813,349.0187,49.4649412634377,4.11472056945395,40
CAS,2.5,0.2338,353.7662,16.0411956407134,7.46980825054963,55
CAS,2.5,117.7793,206.2207,9.83919843831084,7.11515925195338,50
CAS,25,43.6305,316.3695,44.2665140850422,3.81815442958507,91
CAS,25,9.3797,350.6203,49.910372610501,3.09311202482806,69
CAS,25,36.0481,323.9519,25.4141208172609,9.41793826904921,46
CAS,25,41.5862,318.4138,17.0603438271824,2.67875823270237,69
CAS,25,51.9841,308.0159,31.731990124474,6.49110343257401,47
CAS,25,50.0058,309.9942,50.8754731159939,11.2939917108093,96
CAS,25,21.0069,338.9931,40.7801884950135,13.6159494152408,82
CAS,25,33.7068,326.2932,3.16174630823958,9.24916324018274,41
CAS,25,16.1504,343.8496,19.2733255453107,1.15476556132093,39
CAS,25,53.0161,306.9839,31.0008387470518,11.7057171508836,43
CAS,25,57.4393,302.5607,9.50067328859413,11.6919919392243,96
CAS,25,24.2662,335.7338,39.9599970518027,6.73481629103264,74
CAS,25,15.128,344.872,17.7105815937366,2.92448478525758,95
CAS,25,55.93,304.07,51.599983700053,3.90606378959912,42
CAS,25,2.4252,357.5747,36.9797930914449,11.5834800721386,71
